NC_008448_Galaxiella_nigrostriata	TOPOLOGY		circular	
	source	1..19017	ff_definition	NC_008448_Galaxiella_nigrostriata mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_008448_Galaxiella_nigrostriata
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2829..3803	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4013..5060	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5060,aa:TERM)
			transl_table	2
	CDS	5442..6992	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7152..7842	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7842,aa:TERM)
			transl_table	2
	CDS	7918..8085	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8076..8758	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8757..8758,aa:TERM)
			transl_table	2
	CDS	8759..9543	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9542..9543,aa:TERM)
			transl_table	2
	CDS	10030..10326	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10320..11777	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			transl_table	2
	CDS	12254..12602	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:12602,aa:TERM)
			transl_table	2
	CDS	14311..16146	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(16143..16664)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	16734..17867	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	69..1011	product	12S rRNA
	rRNA	1084..2753	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1012..1083	product	tRNA-Val
	tRNA	2754..2828	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3804..3875	product	tRNA-Ile
	tRNA	complement(3875..3945)	product	tRNA-Gln
	tRNA	3944..4012	product	tRNA-Met
	tRNA	5061..5130	product	tRNA-Trp
	tRNA	complement(5132..5200)	product	tRNA-Ala
	tRNA	complement(5202..5274)	product	tRNA-Asn
	tRNA	complement(5305..5368)	product	tRNA-Cys
	tRNA	complement(5370..5440)	product	tRNA-Tyr
	tRNA	complement(6993..7063)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7066..7138	product	tRNA-Asp
	tRNA	7843..7916	product	tRNA-Lys
	tRNA	9544..9614	product	tRNA-Gly
	tRNA	9960..10029	product	tRNA-Arg
	tRNA	12182..12253	product	tRNA-Gly
	tRNA	12603..12672	product	tRNA-Arg
	tRNA	14100..14168	product	tRNA-His
	tRNA	14169..14236	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	14238..14310	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(16665..16733)	product	tRNA-Glu
	tRNA	17872..17943	product	tRNA-Thr
	tRNA	complement(18067..18136)	product	tRNA-Pro
	D-loop	12673..14099	note	control region
	D-loop	18137..19017	note	control region
