NC_006539_Anguilla_interioris	TOPOLOGY		circular	
	source	1..16713	ff_definition	NC_006539_Anguilla_interioris mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_006539_Anguilla_interioris
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2878..3849	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4062..5106	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5106,aa:TERM)
			transl_table	2
	CDS	5504..7096	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7240..7930	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7930,aa:TERM)
			transl_table	2
	CDS	8008..8175	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8166..8848	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8847..8848,aa:TERM)
			transl_table	2
	CDS	8849..9633	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9632..9633,aa:TERM)
			transl_table	2
	CDS	9706..10054	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10054,aa:TERM)
			transl_table	2
	CDS	10126..10422	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10416..11796	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11796,aa:TERM)
			transl_table	2
	CDS	12010..13851	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13848..14369)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14444..15583	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	71..1018	product	12S rRNA
	rRNA	1090..2801	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	1019..1089	product	tRNA-Val
	tRNA	2802..2877	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3852..3923	product	tRNA-Ile
	tRNA	complement(3923..3993)	product	tRNA-Gln
	tRNA	3993..4061	product	tRNA-Met
	tRNA	5107..5178	product	tRNA-Trp
	tRNA	complement(5180..5248)	product	tRNA-Ala
	tRNA	complement(5250..5322)	product	tRNA-Asn
	tRNA	complement(5366..5431)	product	tRNA-Cys
	tRNA	complement(5432..5502)	product	tRNA-Tyr
	tRNA	complement(7088..7158)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7164..7233	product	tRNA-Asp
	tRNA	7931..8006	product	tRNA-Lys
	tRNA	9634..9705	product	tRNA-Gly
	tRNA	10055..10125	product	tRNA-Arg
	tRNA	11797..11865	product	tRNA-His
	tRNA	11866..11936	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11937..12009	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14370..14438)	product	tRNA-Glu
	tRNA	15584..15656	product	tRNA-Thr
	tRNA	complement(15662..15731)	product	tRNA-Pro
	D-loop	15732..16713	note	control region
