NC_026208_Himantura_gerrardi	TOPOLOGY		circular	
	source	1..17685	ff_definition	NC_026208_Himantura_gerrardi mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_026208_Himantura_gerrardi
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2878..3852	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4076..5121	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5120..5121,aa:TERM)
			transl_table	2
	CDS	5519..7075	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7229..7919	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7919,aa:TERM)
			transl_table	2
	CDS	7995..8162	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8153..8836	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			transl_table	2
	CDS	8839..9624	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			transl_table	2
	CDS	9696..10046	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			transl_table	2
	CDS	10124..10420	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10414..11794	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11794,aa:TERM)
			transl_table	2
	CDS	12007..13857	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13854..14375)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14454..15596	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	70..1038	product	12S rRNA
	rRNA	1111..2801	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1039..1110	product	tRNA-Val
	tRNA	2802..2876	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3855..3924	product	tRNA-Ile
	tRNA	complement(3932..4003)	product	tRNA-Gln
	tRNA	4005..4075	product	tRNA-Met
	tRNA	5122..5191	product	tRNA-Trp
	tRNA	complement(5193..5261)	product	tRNA-Ala
	tRNA	complement(5270..5342)	product	tRNA-Asn
	tRNA	complement(5377..5444)	product	tRNA-Cys
	tRNA	complement(5448..5517)	product	tRNA-Tyr
	tRNA	complement(7084..7154)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7155..7225	product	tRNA-Asp
	tRNA	7920..7993	product	tRNA-Lys
	tRNA	9627..9695	product	tRNA-Gly
	tRNA	10053..10123	product	tRNA-Arg
	tRNA	11795..11863	product	tRNA-His
	tRNA	11865..11932	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11935..12006	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14376..14444)	product	tRNA-Glu
	tRNA	15613..15685	product	tRNA-Thr
	tRNA	complement(15695..15764)	product	tRNA-Pro
	D-loop	15765..17685	note	control region
