NC_027654_Chlorophthalmus_nigromarginatus	TOPOLOGY		circular	
	source	1..17663	ff_definition	NC_027654_Chlorophthalmus_nigromarginatus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_027654_Chlorophthalmus_nigromarginatus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2887..3861	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4077..5127	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5127,aa:TERM)
			transl_table	2
	CDS	5515..7065	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7228..7918	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7918,aa:TERM)
			transl_table	2
	CDS	7996..8163	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8154..8837	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			transl_table	2
	CDS	8889..9673	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9672..9673,aa:TERM)
			transl_table	2
	CDS	9744..10092	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10092,aa:TERM)
			transl_table	2
	CDS	10163..10459	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10453..11833	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11833,aa:TERM)
			transl_table	2
	CDS	12046..13884	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13881..14402)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14476..15613	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15613,aa:TERM)
			transl_table	2
	rRNA	70..1026	product	12S rRNA
	rRNA	1100..2812	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1027..1099	product	tRNA-Val
	tRNA	2813..2886	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3868..3938	product	tRNA-Ile
	tRNA	complement(3938..4008)	product	tRNA-Gln
	tRNA	4008..4076	product	tRNA-Met
	tRNA	5128..5199	product	tRNA-Trp
	tRNA	complement(5200..5268)	product	tRNA-Ala
	tRNA	complement(5270..5342)	product	tRNA-Asn
	tRNA	complement(5376..5442)	product	tRNA-Cys
	tRNA	complement(5443..5513)	product	tRNA-Tyr
	tRNA	complement(7067..7137)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7141..7214	product	tRNA-Asp
	tRNA	7919..7994	product	tRNA-Lys
	tRNA	9674..9743	product	tRNA-Gly
	tRNA	10093..10162	product	tRNA-Arg
	tRNA	11834..11902	product	tRNA-His
	tRNA	11903..11971	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11973..12045	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14403..14471)	product	tRNA-Glu
	tRNA	15614..15685	product	tRNA-Thr
	tRNA	complement(15685..15755)	product	tRNA-Pro
	D-loop	15756..17663	note	control region
