NC_011199_Halichoeres_trimaculatus	TOPOLOGY		circular	
	source	1..16621	ff_definition	NC_011199_Halichoeres_trimaculatus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_011199_Halichoeres_trimaculatus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2854..3828	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4039..5082	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5552..7102	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			note	Incomplete stop codon
			transl_table	2
	CDS	7263..7953	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7953,aa:TERM)
			transl_table	2
	CDS	8029..8196	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8187..8869	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8868..8869,aa:TERM)
			transl_table	2
	CDS	8870..9654	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9653..9654,aa:TERM)
			transl_table	2
	CDS	9726..10079	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			transl_table	2
	CDS	10151..10447	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10441..11820	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			transl_table	2
	CDS	12038..13876	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13883..14404)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14477..15617	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15617,aa:TERM)
			transl_table	2
	rRNA	69..1016	product	12S rRNA
	rRNA	1090..2778	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1017..1089	product	tRNA-Val
	tRNA	2779..2853	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3831..3900	product	tRNA-Ile
	tRNA	complement(3900..3970)	product	tRNA-Gln
	tRNA	3970..4038	product	tRNA-Met
	tRNA	5084..5156	product	tRNA-Trp
	tRNA	complement(5241..5309)	product	tRNA-Ala
	tRNA	complement(5311..5383)	product	tRNA-Asn
	tRNA	complement(5415..5480)	product	tRNA-Cys
	tRNA	complement(5481..5550)	product	tRNA-Tyr
	tRNA	complement(7103..7173)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7184..7256	product	tRNA-Asp
	tRNA	7954..8027	product	tRNA-Lys
	tRNA	9655..9724	product	tRNA-Gly
	tRNA	10082..10150	product	tRNA-Arg
	tRNA	11823..11891	product	tRNA-His
	tRNA	11892..11960	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11965..12037	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14405..14473)	product	tRNA-Glu
	tRNA	15618..15690	product	tRNA-Thr
	tRNA	complement(15690..15760)	product	tRNA-Pro
	D-loop	15761..16621	note	control region
