NC_008124_Bregmaceros_nectabanus	TOPOLOGY		circular	
	source	1..16030	ff_definition	NC_008124_Bregmaceros_nectabanus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_008124_Bregmaceros_nectabanus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2782..3750	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4280..5417	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:5417,aa:TERM)
			transl_table	2
	CDS	5678..6724	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	6970..8526	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	8724..9414	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:9414,aa:TERM)
			transl_table	2
	CDS	9488..9655	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	9646..10326	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			transl_table	2
	CDS	10343..11126	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:11126,aa:TERM)
			transl_table	2
	CDS	11197..11545	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:11545,aa:TERM)
			transl_table	2
	CDS	11615..11911	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	11905..13278	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			transl_table	2
	CDS	13438..15279	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(15276..15797)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	rRNA	69..1011	product	12S rRNA
	rRNA	1085..2781	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1012..1084	product	tRNA-Val
	tRNA	complement(3762..3832)	product	tRNA-Gln
	tRNA	3846..3914	product	tRNA-Met
	tRNA	complement(3915..3983)	product	tRNA-Ala
	tRNA	complement(3984..4056)	product	tRNA-Asn
	tRNA	complement(4058..4123)	product	tRNA-Cys
	tRNA	4132..4201	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	complement(4206..4274)	product	tRNA-Glu
	tRNA	5418..5491	product	tRNA-Thr
	tRNA	5496..5568	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	5571..5641	product	tRNA-Ile
	tRNA	6746..6814	product	tRNA-Trp
	tRNA	complement(6896..6963)	product	tRNA-Tyr
	tRNA	complement(8567..8637)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	8641..8707	product	tRNA-Asp
	tRNA	9415..9486	product	tRNA-Lys
	tRNA	11127..11196	product	tRNA-Gly
	tRNA	11546..11614	product	tRNA-Arg
	tRNA	13289..13358	product	tRNA-His
	tRNA	13366..13437	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(15830..15899)	product	tRNA-Pro
