NC_002574_Sigmops_gracilis	TOPOLOGY		circular	
	source	1..16436	ff_definition	NC_002574_Sigmops_gracilis mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_002574_Sigmops_gracilis
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2825..3790	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4003..5049	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5433..6980	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7137..7827	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7827,aa:TERM)
			transl_table	2
	CDS	7902..8066	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8057..8740	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			transl_table	2
	CDS	9045..9829	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9828..9829,aa:TERM)
			transl_table	2
	CDS	9899..10247	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10247,aa:TERM)
			transl_table	2
	CDS	10315..10611	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10605..11978	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			transl_table	2
	CDS	12193..14040	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(14026..14547)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14614..15762	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	70..1008	product	12S rRNA
	rRNA	1079..2749	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1009..1078	product	tRNA-Val
	tRNA	2750..2824	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3793..3864	product	tRNA-Ile
	tRNA	complement(3864..3934)	product	tRNA-Gln
	tRNA	3934..4002	product	tRNA-Met
	tRNA	5053..5121	product	tRNA-Trp
	tRNA	complement(5123..5191)	product	tRNA-Ala
	tRNA	complement(5193..5265)	product	tRNA-Asn
	tRNA	complement(5295..5363)	product	tRNA-Cys
	tRNA	complement(5363..5431)	product	tRNA-Tyr
	tRNA	complement(6976..7046)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7051..7122	product	tRNA-Asp
	tRNA	7828..7900	product	tRNA-Lys
	tRNA	9830..9898	product	tRNA-Gly
	tRNA	10248..10314	product	tRNA-Arg
	tRNA	11984..12051	product	tRNA-His
	tRNA	12052..12118	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	12120..12192	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(15806..15874)	product	tRNA-Glu
	tRNA	complement(15901..15969)	product	tRNA-Pro
	tRNA	16075..16144	product	tRNA-Thr
