NC_026883_Chaetodontoplus_conspicillatus	TOPOLOGY		circular	
	source	1..16988	ff_definition	NC_026883_Chaetodontoplus_conspicillatus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_026883_Chaetodontoplus_conspicillatus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	3013..3987	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4200..5246	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5647..7197	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7352..8042	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:8042,aa:TERM)
			transl_table	2
	CDS	8119..8286	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8277..8959	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8958..8959,aa:TERM)
			transl_table	2
	CDS	8960..9744	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9743..9744,aa:TERM)
			transl_table	2
	CDS	9817..10165	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10165,aa:TERM)
			transl_table	2
	CDS	10235..10531	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10525..11905	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11905,aa:TERM)
			transl_table	2
	CDS	12119..14074	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(14071..14592)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14665..15805	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15805,aa:TERM)
			transl_table	2
	rRNA	70..1021	product	12S rRNA
	rRNA	1095..2937	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1022..1094	product	tRNA-Val
	tRNA	2938..3012	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3992..4061	product	tRNA-Ile
	tRNA	complement(4061..4131)	product	tRNA-Gln
	tRNA	4131..4199	product	tRNA-Met
	tRNA	5256..5328	product	tRNA-Trp
	tRNA	complement(5329..5397)	product	tRNA-Ala
	tRNA	complement(5399..5471)	product	tRNA-Asn
	tRNA	complement(5510..5575)	product	tRNA-Cys
	tRNA	complement(5576..5645)	product	tRNA-Tyr
	tRNA	complement(7199..7269)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7273..7344	product	tRNA-Asp
	tRNA	8043..8117	product	tRNA-Lys
	tRNA	9745..9816	product	tRNA-Gly
	tRNA	10166..10234	product	tRNA-Arg
	tRNA	11906..11974	product	tRNA-His
	tRNA	11975..12041	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	12046..12118	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14593..14661)	product	tRNA-Glu
	tRNA	15806..15877	product	tRNA-Thr
	tRNA	complement(15877..15946)	product	tRNA-Pro
	D-loop	15947..16988	note	control region
