NC_013609_Cyema_atrum	TOPOLOGY		circular	
	source	1..16868	ff_definition	NC_013609_Cyema_atrum mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_013609_Cyema_atrum
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	3384..4355	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4479..5625	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5625,aa:TERM)
			transl_table	2
	CDS	6122..7678	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7835..8525	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:8525,aa:TERM)
			transl_table	2
	CDS	8601..8768	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8759..9442	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			transl_table	2
	CDS	9622..10406	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:10405..10406,aa:TERM)
			transl_table	2
	CDS	10476..10824	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10824,aa:TERM)
			transl_table	2
	CDS	10895..11194	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	11188..12568	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:12568,aa:TERM)
			transl_table	2
	CDS	12782..14623	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(14620..15147)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	15221..16360	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	509..1461	product	12S rRNA
	rRNA	1532..3383	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	437..508	product	tRNA-Ile
	tRNA	1462..1531	product	tRNA-Val
	tRNA	5626..5697	product	tRNA-Trp
	tRNA	complement(5993..6058)	product	tRNA-Cys
	tRNA	complement(7685..7755)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7760..7830	product	tRNA-Asp
	tRNA	8526..8599	product	tRNA-Lys
	tRNA	10407..10475	product	tRNA-Gly
	tRNA	10825..10894	product	tRNA-Arg
	tRNA	12569..12637	product	tRNA-His
	tRNA	12638..12708	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	12709..12781	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(15148..15216)	product	tRNA-Glu
	tRNA	16369..16441	product	tRNA-Thr
	tRNA	complement(16445..16514)	product	tRNA-Pro
