NC_009054_Labracinus_cyclophthalmus	TOPOLOGY		circular	
	source	1..15713	ff_definition	NC_009054_Labracinus_cyclophthalmus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_009054_Labracinus_cyclophthalmus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2896..3858	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4071..5116	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5115..5116,aa:TERM)
			transl_table	2
	CDS	5498..7084	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7227..7917	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7917,aa:TERM)
			transl_table	2
	CDS	7996..8163	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8142..8836	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8835..8836,aa:TERM)
			transl_table	2
	CDS	8837..9621	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9620..9621,aa:TERM)
			transl_table	2
	CDS	9693..10041	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10041,aa:TERM)
			transl_table	2
	CDS	10111..10407	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10401..11781	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11781,aa:TERM)
			transl_table	2
	CDS	11999..13834	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13830..14351)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14425..15565	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15565,aa:TERM)
			transl_table	2
	rRNA	73..1031	product	12S rRNA
	rRNA	1105..2820	product	16S rRNA
	tRNA	1..72	product	tRNA-Phe
	tRNA	1032..1104	product	tRNA-Val
	tRNA	2821..2895	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3863..3932	product	tRNA-Ile
	tRNA	complement(3932..4002)	product	tRNA-Gln
	tRNA	4002..4070	product	tRNA-Met
	tRNA	5117..5189	product	tRNA-Trp
	tRNA	complement(5191..5259)	product	tRNA-Ala
	tRNA	complement(5261..5333)	product	tRNA-Asn
	tRNA	complement(5359..5426)	product	tRNA-Cys
	tRNA	complement(5427..5496)	product	tRNA-Tyr
	tRNA	complement(7076..7146)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7150..7222	product	tRNA-Asp
	tRNA	7918..7994	product	tRNA-Lys
	tRNA	9622..9692	product	tRNA-Gly
	tRNA	10042..10110	product	tRNA-Arg
	tRNA	11782..11850	product	tRNA-His
	tRNA	11851..11918	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11926..11998	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14353..14421)	product	tRNA-Glu
	tRNA	15566..15637	product	tRNA-Thr
	tRNA	complement(15644..15713)	product	tRNA-Pro
