NC_022854_Misgurnus_bipartitus	TOPOLOGY		circular	
	source	1..16636	ff_definition	NC_022854_Misgurnus_bipartitus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_022854_Misgurnus_bipartitus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2846..3820	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4038..5082	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5082,aa:TERM)
			transl_table	2
	CDS	5463..7013	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7173..7907	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			transl_table	2
	CDS	8012..8179	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8170..8852	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8851..8852,aa:TERM)
			transl_table	2
	CDS	8853..9636	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9636,aa:TERM)
			transl_table	2
	CDS	9710..10058	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10058,aa:TERM)
			transl_table	2
	CDS	10129..10425	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10419..11800	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11799..11800,aa:TERM)
			transl_table	2
	CDS	12012..13850	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13847..14368)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14444..15584	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15584,aa:TERM)
			transl_table	2
	rRNA	70..1020	product	12S rRNA
	rRNA	1094..2769	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1021..1093	product	tRNA-Val
	tRNA	2770..2844	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3827..3898	product	tRNA-Ile
	tRNA	complement(3897..3967)	product	tRNA-Gln
	tRNA	3969..4037	product	tRNA-Met
	tRNA	5083..5152	product	tRNA-Trp
	tRNA	complement(5154..5222)	product	tRNA-Ala
	tRNA	complement(5224..5296)	product	tRNA-Asn
	tRNA	complement(5327..5392)	product	tRNA-Cys
	tRNA	complement(5393..5461)	product	tRNA-Tyr
	tRNA	complement(7015..7085)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7088..7159	product	tRNA-Asp
	tRNA	7935..8010	product	tRNA-Lys
	tRNA	9637..9709	product	tRNA-Gly
	tRNA	10059..10128	product	tRNA-Arg
	tRNA	11801..11869	product	tRNA-His
	tRNA	11870..11937	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11939..12011	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14369..14437)	product	tRNA-Glu
	tRNA	15585..15656	product	tRNA-Thr
	tRNA	complement(15655..15724)	product	tRNA-Pro
	D-loop	15725..16636	note	control region
