NC_027160_Odontobutis_yaluensis	TOPOLOGY		circular	
	source	1..16988	ff_definition	NC_027160_Odontobutis_yaluensis mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_027160_Odontobutis_yaluensis
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2830..3806	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			note	Incomplete stop codon
			transl_except	(pos:3805..3806,aa:TERM)
			transl_table	2
	CDS	4015..5060	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5059..5060,aa:TERM)
			transl_table	2
	CDS	5453..7006	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7158..7848	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7848,aa:TERM)
			transl_table	2
	CDS	7924..8088	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8082..8764	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8763..8764,aa:TERM)
			transl_table	2
	CDS	8765..9549	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9548..9549,aa:TERM)
			transl_table	2
	CDS	9621..9966	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9966,aa:TERM)
			transl_table	2
	CDS	10036..10332	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10326..11708	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			transl_table	2
	CDS	12369..14261	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(14258..14779)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14853..15993	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15993,aa:TERM)
			transl_table	2
	rRNA	70..1021	product	12S rRNA
	rRNA	1094..2756	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1022..1093	product	tRNA-Val
	tRNA	2757..2829	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3807..3876	product	tRNA-Ile
	tRNA	complement(3876..3946)	product	tRNA-Gln
	tRNA	3946..4014	product	tRNA-Met
	tRNA	5061..5133	product	tRNA-Trp
	tRNA	complement(5139..5207)	product	tRNA-Ala
	tRNA	complement(5209..5281)	product	tRNA-Asn
	tRNA	complement(5316..5383)	product	tRNA-Cys
	tRNA	complement(5384..5451)	product	tRNA-Tyr
	tRNA	complement(7007..7077)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7082..7152	product	tRNA-Asp
	tRNA	7849..7922	product	tRNA-Lys
	tRNA	9550..9620	product	tRNA-Gly
	tRNA	9967..10035	product	tRNA-Arg
	tRNA	11734..11801	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11805..11877	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	12270..12337	product	tRNA-His
	tRNA	complement(14780..14847)	product	tRNA-Glu
	tRNA	15994..16065	product	tRNA-Thr
	tRNA	complement(16068..16137)	product	tRNA-Pro
	D-loop	16138..16988	note	control region
