NC_011010_Sagamichthys_abei	TOPOLOGY		circular	
	source	1..17143	ff_definition	NC_011010_Sagamichthys_abei mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_011010_Sagamichthys_abei
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2835..3809	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4023..5067	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5067,aa:TERM)
			transl_table	2
	CDS	5453..7012	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7167..7854	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7854,aa:TERM)
			transl_table	2
	CDS	7930..8097	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8088..8770	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8769..8770,aa:TERM)
			transl_table	2
	CDS	8771..9555	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9554..9555,aa:TERM)
			transl_table	2
	CDS	9625..9970	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9970,aa:TERM)
			transl_table	2
	CDS	10040..10336	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10330..11730	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			transl_table	2
	CDS	12426..14261	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(14258..14779)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14854..16020	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	71..1018	product	12S rRNA
	rRNA	1091..2759	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	1019..1090	product	tRNA-Val
	tRNA	2760..2834	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3815..3884	product	tRNA-Ile
	tRNA	complement(3884..3954)	product	tRNA-Gln
	tRNA	3954..4022	product	tRNA-Met
	tRNA	5068..5138	product	tRNA-Trp
	tRNA	complement(5140..5207)	product	tRNA-Ala
	tRNA	complement(5209..5281)	product	tRNA-Asn
	tRNA	complement(5314..5380)	product	tRNA-Cys
	tRNA	complement(5381..5451)	product	tRNA-Tyr
	tRNA	complement(7004..7074)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7080..7152	product	tRNA-Asp
	tRNA	7855..7928	product	tRNA-Lys
	tRNA	9556..9624	product	tRNA-Gly
	tRNA	9971..10039	product	tRNA-Arg
	tRNA	12215..12284	product	tRNA-His
	tRNA	12285..12351	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	12353..12425	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14780..14848)	product	tRNA-Glu
	tRNA	16065..16136	product	tRNA-Thr
	tRNA	complement(16136..16205)	product	tRNA-Pro
	D-loop	16206..17143	note	control region
