NC_005804_Megalops_atlanticus	TOPOLOGY		circular	
	source	1..16686	ff_definition	NC_005804_Megalops_atlanticus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_005804_Megalops_atlanticus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2871..3845	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4067..5111	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5111,aa:TERM)
			transl_table	2
	CDS	5506..7101	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7254..7944	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7944,aa:TERM)
			transl_table	2
	CDS	8020..8187	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8178..8860	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8859..8860,aa:TERM)
			transl_table	2
	CDS	8861..9645	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9644..9645,aa:TERM)
			transl_table	2
	CDS	9718..10066	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10066,aa:TERM)
			transl_table	2
	CDS	10137..10433	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10427..11807	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11807,aa:TERM)
			transl_table	2
	CDS	12019..13857	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13854..14375)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14450..15590	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15590,aa:TERM)
			transl_table	2
	rRNA	72..1031	product	12S rRNA
	rRNA	1106..2795	product	16S rRNA
	tRNA	1..71	product	tRNA-Phe
	tRNA	1032..1105	product	tRNA-Val
	tRNA	2796..2870	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3857..3928	product	tRNA-Ile
	tRNA	complement(3928..3998)	product	tRNA-Gln
	tRNA	3998..4066	product	tRNA-Met
	tRNA	5112..5182	product	tRNA-Trp
	tRNA	complement(5184..5252)	product	tRNA-Ala
	tRNA	complement(5254..5326)	product	tRNA-Asn
	tRNA	complement(5366..5433)	product	tRNA-Cys
	tRNA	complement(5434..5504)	product	tRNA-Tyr
	tRNA	complement(7093..7163)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7168..7239	product	tRNA-Asp
	tRNA	7945..8018	product	tRNA-Lys
	tRNA	9646..9717	product	tRNA-Gly
	tRNA	10067..10136	product	tRNA-Arg
	tRNA	11808..11876	product	tRNA-His
	tRNA	11877..11944	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11946..12018	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14376..14444)	product	tRNA-Glu
	tRNA	15591..15665	product	tRNA-Thr
	tRNA	complement(15665..15734)	product	tRNA-Pro
	D-loop	15735..16686	note	control region
