NC_011928_Scarus_forsteni	TOPOLOGY		circular	
	source	1..16679	ff_definition	NC_011928_Scarus_forsteni mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_011928_Scarus_forsteni
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2852..3823	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4121..5165	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5165,aa:TERM)
			transl_table	2
	CDS	5564..7114	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7269..7959	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7959,aa:TERM)
			transl_table	2
	CDS	8035..8202	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8193..8875	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8874..8875,aa:TERM)
			transl_table	2
	CDS	8876..9660	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9659..9660,aa:TERM)
			transl_table	2
	CDS	9734..10085	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10085,aa:TERM)
			transl_table	2
	CDS	10155..10451	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10445..11824	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			transl_table	2
	CDS	12048..13886	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13883..14404)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14479..15619	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15619,aa:TERM)
			transl_table	2
	rRNA	69..1020	product	12S rRNA
	rRNA	1092..2775	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1021..1091	product	tRNA-Val
	tRNA	2776..2849	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3826..3895	product	tRNA-Ile
	tRNA	3903..3972	product	tRNA-Met
	tRNA	complement(3985..4055)	product	tRNA-Gln
	tRNA	5166..5236	product	tRNA-Trp
	tRNA	complement(5240..5308)	product	tRNA-Ala
	tRNA	complement(5312..5384)	product	tRNA-Asn
	tRNA	complement(5425..5492)	product	tRNA-Cys
	tRNA	complement(5493..5562)	product	tRNA-Tyr
	tRNA	complement(7115..7185)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7190..7262	product	tRNA-Asp
	tRNA	7960..8033	product	tRNA-Lys
	tRNA	9661..9732	product	tRNA-Gly
	tRNA	10086..10154	product	tRNA-Arg
	tRNA	11827..11895	product	tRNA-His
	tRNA	11897..11968	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11977..12047	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14405..14473)	product	tRNA-Glu
	tRNA	15620..15690	product	tRNA-Thr
	tRNA	complement(15690..15760)	product	tRNA-Pro
	D-loop	15761..16679	note	control region
