NC_004698_Corydoras_rabauti	TOPOLOGY		circular	
	source	1..16831	ff_definition	NC_004698_Corydoras_rabauti mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_004698_Corydoras_rabauti
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2831..3802	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4021..5065	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5065,aa:TERM)
			transl_table	2
	CDS	5448..7007	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7143..7833	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7833,aa:TERM)
			transl_table	2
	CDS	7909..8076	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8067..8750	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			transl_table	2
	CDS	8768..9551	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9551,aa:TERM)
			transl_table	2
	CDS	9624..9972	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9972,aa:TERM)
			transl_table	2
	CDS	10043..10339	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10333..11713	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11713,aa:TERM)
			transl_table	2
	CDS	11925..13751	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13748..14263)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14335..15472	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15472,aa:TERM)
			transl_table	2
	rRNA	69..1014	product	12S rRNA
	rRNA	1087..2755	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1015..1086	product	tRNA-Val
	tRNA	2756..2830	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3811..3882	product	tRNA-Ile
	tRNA	complement(3881..3951)	product	tRNA-Gln
	tRNA	3951..4020	product	tRNA-Met
	tRNA	5066..5136	product	tRNA-Trp
	tRNA	complement(5138..5206)	product	tRNA-Ala
	tRNA	complement(5208..5280)	product	tRNA-Asn
	tRNA	complement(5311..5377)	product	tRNA-Cys
	tRNA	complement(5377..5446)	product	tRNA-Tyr
	tRNA	complement(6995..7065)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7070..7138	product	tRNA-Asp
	tRNA	7834..7907	product	tRNA-Lys
	tRNA	9552..9623	product	tRNA-Gly
	tRNA	9973..10042	product	tRNA-Arg
	tRNA	11714..11783	product	tRNA-His
	tRNA	11784..11850	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11852..11924	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14264..14332)	product	tRNA-Glu
	tRNA	15473..15545	product	tRNA-Thr
	tRNA	complement(15544..15613)	product	tRNA-Pro
	D-loop	15614..16831	note	control region
