NC_030353_Lethrinus_laticaudis	TOPOLOGY		circular	
	source	1..16758	ff_definition	NC_030353_Lethrinus_laticaudis mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_030353_Lethrinus_laticaudis
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2981..3952	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4166..5211	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5210..5211,aa:TERM)
			transl_table	2
	CDS	5605..7155	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7310..8000	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:8000,aa:TERM)
			transl_table	2
	CDS	8078..8245	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8258..8940	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8939..8940,aa:TERM)
			transl_table	2
	CDS	8941..9725	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9724..9725,aa:TERM)
			transl_table	2
	CDS	9798..10146	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10146,aa:TERM)
			transl_table	2
	CDS	10216..10512	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10506..11886	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11886,aa:TERM)
			transl_table	2
	CDS	12103..13941	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13938..14459)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14533..15673	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15673,aa:TERM)
			transl_table	2
	rRNA	69..1024	product	12S rRNA
	rRNA	1099..2906	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1025..1098	product	tRNA-Val
	tRNA	2907..2980	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3957..4026	product	tRNA-Ile
	tRNA	complement(4026..4096)	product	tRNA-Gln
	tRNA	4096..4165	product	tRNA-Met
	tRNA	5212..5284	product	tRNA-Trp
	tRNA	complement(5285..5353)	product	tRNA-Ala
	tRNA	complement(5355..5427)	product	tRNA-Asn
	tRNA	complement(5465..5533)	product	tRNA-Cys
	tRNA	complement(5533..5603)	product	tRNA-Tyr
	tRNA	complement(7157..7227)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7231..7302	product	tRNA-Asp
	tRNA	8001..8076	product	tRNA-Lys
	tRNA	9726..9797	product	tRNA-Gly
	tRNA	10147..10215	product	tRNA-Arg
	tRNA	11887..11955	product	tRNA-His
	tRNA	11956..12025	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	12030..12102	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14460..14528)	product	tRNA-Glu
	tRNA	15674..15745	product	tRNA-Thr
	tRNA	complement(15745..15813)	product	tRNA-Pro
	D-loop	15814..16758	note	control region
