NC_018052_Scoliodon_macrorhynchos	TOPOLOGY		circular	
	source	1..16693	ff_definition	NC_018052_Scoliodon_macrorhynchos mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_018052_Scoliodon_macrorhynchos
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2839..3813	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4026..5070	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5070,aa:TERM)
			transl_table	2
	CDS	5454..7010	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7161..7851	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7851,aa:TERM)
			transl_table	2
	CDS	7927..8094	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8085..8767	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8766..8767,aa:TERM)
			transl_table	2
	CDS	8768..9553	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			transl_table	2
	CDS	9626..9974	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9974,aa:TERM)
			transl_table	2
	CDS	10045..10341	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10335..11715	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11715,aa:TERM)
			transl_table	2
	CDS	11925..13754	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13750..14271)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14344..15488	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15487..15488,aa:TERM)
			transl_table	2
	rRNA	71..1021	product	12S rRNA
	rRNA	1094..2763	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	1022..1093	product	tRNA-Val
	tRNA	2764..2838	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3814..3883	product	tRNA-Ile
	tRNA	complement(3885..3956)	product	tRNA-Gln
	tRNA	3957..4025	product	tRNA-Met
	tRNA	5071..5138	product	tRNA-Trp
	tRNA	complement(5140..5208)	product	tRNA-Ala
	tRNA	complement(5209..5281)	product	tRNA-Asn
	tRNA	complement(5316..5382)	product	tRNA-Cys
	tRNA	complement(5384..5452)	product	tRNA-Tyr
	tRNA	complement(7011..7081)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7085..7153	product	tRNA-Asp
	tRNA	7852..7925	product	tRNA-Lys
	tRNA	9556..9625	product	tRNA-Gly
	tRNA	9975..10044	product	tRNA-Arg
	tRNA	11716..11784	product	tRNA-His
	tRNA	11785..11851	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11852..11923	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14272..14341)	product	tRNA-Glu
	tRNA	15489..15558	product	tRNA-Thr
	tRNA	complement(15561..15629)	product	tRNA-Pro
	D-loop	15630..16693	note	control region
