NC_022717_Cobitis_lutheri	TOPOLOGY		circular	
	source	1..16639	ff_definition	NC_022717_Cobitis_lutheri mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_022717_Cobitis_lutheri
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2847..3821	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4039..5083	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5083,aa:TERM)
			transl_table	2
	CDS	5464..7014	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7173..7904	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			transl_table	2
	CDS	8009..8176	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8167..8849	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8848..8849,aa:TERM)
			transl_table	2
	CDS	8850..9633	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9633,aa:TERM)
			transl_table	2
	CDS	9707..10055	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10055,aa:TERM)
			transl_table	2
	CDS	10126..10422	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10416..11797	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11796..11797,aa:TERM)
			transl_table	2
	CDS	12009..13847	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13844..14365)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14442..15582	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15582,aa:TERM)
			transl_table	2
	rRNA	70..1018	product	12S rRNA
	rRNA	1091..2770	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1019..1090	product	tRNA-Val
	tRNA	2771..2845	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3828..3899	product	tRNA-Ile
	tRNA	complement(3898..3968)	product	tRNA-Gln
	tRNA	3970..4038	product	tRNA-Met
	tRNA	5084..5153	product	tRNA-Trp
	tRNA	complement(5155..5223)	product	tRNA-Ala
	tRNA	complement(5225..5297)	product	tRNA-Asn
	tRNA	complement(5328..5393)	product	tRNA-Cys
	tRNA	complement(5394..5462)	product	tRNA-Tyr
	tRNA	complement(7016..7086)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7089..7160	product	tRNA-Asp
	tRNA	7932..8007	product	tRNA-Lys
	tRNA	9634..9706	product	tRNA-Gly
	tRNA	10056..10125	product	tRNA-Arg
	tRNA	11798..11866	product	tRNA-His
	tRNA	11867..11934	product	tRNA-Ser
	tRNA	11936..12008	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14366..14434)	product	tRNA-Glu
	tRNA	15583..15654	product	tRNA-Thr
	tRNA	complement(15653..15722)	product	tRNA-Pro
	D-loop	15723..16639	note	control region
